training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
49;1;20;1750;6;10620;-5,5;-5
49;2;2;1986;1;5032;-0,75;-1
49;3;28;1693;8;12160;-7;-7
49;4;44;1227;11;25080;-9,25;-10
49;5;13;1899;6;6340;-5;-5,5
49;6;24;1617;10;14288;-9,25;-8,25
49;7;9;1745;4;11664;-3,5;-3,5
49;8;63;1247;18;22684;-16,25;-15,25
49;9;11;1485;5;19376;-4,5;-4,25
49;10;34;1494;7;17680;-6;-6,25
