training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
49;1;234;314;40;19048;-6,75;-3,25
49;2;247;285;41;20716;-4,25;-6
49;3;270;322;41;16028;-4,25;-6
49;4;276;337;41;20052;-6;-4,25
49;5;251;269;40;16840;-6,75;-3,25
49;6;250;350;39;19668;-2,25;-7,5
49;7;230;286;37;14700;-9;-0,25
49;8;232;259;38;22368;-1,25;-8,25
49;9;207;246;31;29452;5,75;-13,5
49;10;191;216;32;14024;4,75;-12,75
