training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
15;4;111;111;32;10088;-10;10
15;5;114;100;39;7624;-3;3
15;6;128;110;38;9996;4;-4
15;7;139;133;39;12760;3;-3
15;8;108;96;28;12828;14;-14
15;9;123;111;38;8464;4;-4
15;10;124;111;41;5012;1;-1
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
16;1;112;85;35;2416;-7;7
16;2;129;116;36;6840;-6;6
16;3;143;116;41;6300;1;-1
16;4;148;126;39;3440;-3;3
16;5;167;123;41;6532;1;-1
16;6;144;120;39;3776;3;-3
16;7;118;111;31;2816;-11;11
16;8;151;142;40;3064;-2;2
16;9;134;103;34;2972;-8;8
16;10;121;110;39;3552;-3;3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
17;1;121;141;37;26220;-5;5
17;2;93;108;29;40368;-13;13
17;3;101;103;31;27716;-11;11
17;4;89;118;29;33636;-13;13
17;5;123;131;36;39344;-6;6
17;6;87;97;29;31532;-13;13
17;7;98;114;27;30084;-15;15
17;8;133;154;38;25156;-4;4
17;9;146;159;41;39816;-1;1
17;10;96;109;33;28840;-9;9
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
18;1;123;108;33;2760;-9;9
18;2;118;91;29;4780;-13;13
18;3;152;130;38;10744;4;-4
18;4;138;112;40;7800;-2;2
18;5;128;109;35;6540;7;-7
18;6;123;107;33;16800;-9;9
18;7;165;158;40;8168;-2;2
18;8;114;103;36;10896;-6;6
18;9;112;101;34;4592;-8;8
18;10;150;139;38;5792;-4;4
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
19;1;157;145;41;14668;-1;1
19;2;129;127;30;7888;-12;12
19;3;144;134;40;23404;2;-2
19;4;125;101;32;7568;-10;10
19;5;125;104;31;8712;-11;11
19;6;161;133;36;14220;-6;6
19;7;108;80;26;8668;-16;16
19;8;88;86;28;10104;-14;14
19;9;154;128;41;23328;-1;1
19;10;119;111;33;16568;-9;9
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
20;1;185;158;41;25752;-1;1
20;2;168;167;38;42548;4;-4
20;3;135;123;38;41380;-4;4
20;4;132;137;34;37744;-8;8
20;5;169;149;41;35256;-1;1
20;6;143;133;32;52520;-2;2
20;7;138;130;35;30160;-7;7
20;8;155;156;37;22160;-5;5
20;9;166;141;39;46556;3;-3
20;10;159;143;39;27476;3;-3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
21;1;136;116;32;4844;-10;10
21;2;146;157;37;4252;5;-5
21;3;157;132;39;2672;3;-3
21;4;112;122;29;5784;-13;13
21;5;127;119;32;2904;10;-10
21;6;177;159;39;7820;3;-3
21;7;150;131;40;5188;-2;2
21;8;178;161;40;3112;2;-2
21;9;144;159;40;4444;-2;2
21;10;135;132;28;1816;-14;14
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
22;1;126;153;37;21776;5;-5
22;2;125;147;37;18504;5;-5
22;3;140;149;41;20096;-1;1
22;4;190;202;41;32908;-1;1
22;5;133;162;38;21136;4;-4
22;6;126;130;33;18072;9;-9
22;7;158;176;41;28368;1;-1
22;8;143;158;35;16916;7;-7
22;9;135;145;36;28548;6;-6
22;10;156;177;39;24404;-3;3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
23;1;153;138;32;10228;10;-10
23;2;193;172;41;12060;1;-1
23;3;161;160;38;12820;-4;4
23;4;160;135;38;5412;4;-4
23;5;113;109;31;8452;11;-11
23;6;153;151;38;8292;-4;4
23;7;127;135;35;7736;-7;7
23;8;165;149;41;12632;1;-1
23;9;157;144;38;18116;4;-4
23;10;100;88;26;4816;16;-16
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
24;1;183;179;41;8084;1;-1
24;2;154;126;37;3624;-5;5
24;3;158;149;37;5516;5;-5
24;4;142;137;34;8480;-8;8
24;5;146;126;31;6500;-11;11
24;6;123;101;29;3164;-13;13
24;7;159;166;39;7900;-3;3
24;8;129;102;31;6528;-11;11
24;9;127;125;31;7876;-11;11
24;10;143;148;39;7752;-3;3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
25;1;152;161;30;3264;12;-12
25;2;143;129;38;2620;-4;4
25;3;167;154;37;2752;-5;5
25;4;184;153;36;2448;-6;6
25;5;190;187;41;4172;-1;1
25;6;120;128;28;2000;14;-14
25;7;186;188;39;5484;-3;3
25;8;178;154;39;3432;-3;3
25;9;190;183;40;5856;-2;2
25;10;170;171;37;4164;-5;5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
26;1;151;163;38;15948;4;-4
26;2;219;161;37;12092;-5;5
26;3;161;176;34;20360;8;-8
26;4;169;164;36;6624;-6;6
26;5;162;155;33;8044;-9;9
26;6;152;167;34;14304;-8;8
26;7;133;121;29;8340;-13;13
26;8;153;125;35;10776;-7;7
26;9;126;127;28;7408;-14;14
26;10;176;147;34;10392;-8;8
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
27;1;193;203;37;15328;-5;5
27;2;162;159;34;7996;-8;8
27;3;197;182;38;16452;-4;4
27;4;193;173;40;20716;2;-2
27;5;180;183;39;11240;-3;3
27;6;180;174;33;14456;-9;9
27;7;198;204;37;12072;5;-5
27;8;208;201;37;11324;5;-5
27;9;166;171;38;18112;4;-4
27;10;178;186;36;5264;6;-6
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
28;1;153;186;35;23348;-7;7
28;2;152;162;29;21724;13;-13
28;3;222;205;39;42292;-3;3
28;4;150;169;33;26236;9;-9
28;5;201;188;40;37500;-2;2
28;6;178;175;39;39764;3;-3
28;7;171;185;38;37116;-4;4
28;8;189;208;37;31744;-5;5
28;9;169;186;36;39060;6;-6
28;10;198;233;40;42896;2;-2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
29;1;174;178;36;25284;6;-6
29;2;167;158;38;44588;-4;4
29;3;214;183;41;25404;1;-1
29;4;209;182;40;39084;2;-2
29;5;207;198;39;37372;-3;3
29;6;196;161;38;46860;4;-4
29;7;167;172;32;30860;-10;10
29;8;148;128;31;31592;-11;11
29;9;153;143;36;40444;6;-6
29;10;158;161;35;21356;7;-7
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
30;1;144;173;31;3488;-11;11
30;2;171;170;37;7020;-5;5
30;3;195;202;37;6388;-5;5
30;4;183;194;34;4640;-8;8
30;5;178;212;37;6592;5;-5
30;6;163;188;32;8748;-10;10
30;7;184;193;35;5480;-7;7
30;8;180;190;34;4104;-8;8
30;9;178;189;34;14116;-8;8
30;10;182;208;38;5448;-4;4
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
31;1;158;166;29;22888;-13;13
31;2;200;217;37;45788;-5;5
31;3;219;242;39;33996;-3;3
31;4;221;185;36;30288;-6;6
31;5;175;169;31;31440;-11;11
31;6;199;209;35;47292;-3;3
31;7;206;206;38;34580;4;-4
31;8;215;250;40;31168;-2;2
31;9;194;199;35;32544;-7;7
31;10;244;236;41;29468;1;-1
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
32;1;207;218;40;8448;-2;2
32;2;158;175;35;13188;-7;7
32;3;145;155;32;11736;-10;10
32;4;171;181;38;13876;-4;4
32;5;174;221;37;13048;5;-5
32;6;176;191;34;13792;-8;8
32;7;185;214;37;17920;5;-5
32;8;206;209;38;13252;-4;4
