Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-26.22619047619,674,21,-0.070096668124199,0.023073135763407,0
2,-21.986486486486,991,37,-0.16645452481508,0.031430733263493,2115.9324629307
3,-23.4921875,891,32,-0.26210048544407,0.033524731636047,4963.2593638897
4,-28.176470588235,579,17,-0.3241598880887,0.040739152014256,7856.8729798794
5,-21.8125,544,24,-0.38103352844715,0.038006673932075,10780.833153009
6,-23.357142857143,984,35,-0.39804885518551,0.030070164382458,13695.362179756
7,-25.943548387097,952,31,-0.42522195124626,0.039641461074352,16637.670908928
8,-24.827868852459,1659,61,-0.48663937526941,0.033724322736263,19597.94380188
9,-17.19776119403,1505,67,-0.58310771363974,0.039613855063915,22610.275089979
10,-18.386363636364,1054,44,-0.67385898274183,0.047257747024298,26011.902555943
11,-16.663043478261,510,23,-0.74345404291153,0.047774670898914,29419.893827915
12,-28.71875,550,16,-0.7510941234827,0.047621515154839,32803.928194046
13,-31.557692307692,487,13,-0.77566252315044,0.045721424460411,36173.552186966
14,-27.044117647059,515,17,-0.7251959322691,0.046316379964352,39532.436095715
15,-31.019230769231,475,13,-0.70267062968016,0.047811714947224,42889.226594687
16,-30.395833333333,447,12,-0.72241412043571,0.051598012924194,45901.21411252
17,-31.909090909091,421,11,-0.64478324902058,0.042378659039736,48914.93513751
18,-30.522727272727,410,11,-0.59752578818798,0.047355640590191,51929.802863598
19,-32.931818181818,429,11,-0.59042614203691,0.048118498712778,54943.719038486
20,-24.964285714286,440,14,-0.61142364943027,0.04725267457962,57958.526197433
21,-32,397,10,-0.5925022212863,0.046299857914448,60973.126054525
22,-29.95,388,10,-0.58906208235025,0.047253952890635,63989.139203548
23,-32.113636363636,425,11,-0.56366939502954,0.042660036683083,67004.544019699
24,-31.613636363636,401,11,-0.59884598815441,0.040162801504135,70036.117438555
25,-31.1,392,10,-0.56721539533138,0.041649486452341,73039.492605686
26,-30.75,110,3,-0.54824591767788,0.039677893638611,76062.590397596
27,-31.4,383,10,-0.53941313302517,0.039290070354939,79094.062027454
28,-32.055555555556,344,9,-0.52132974845171,0.041671369194984,82460.400069475
29,-32.825,393,10,-0.50579402017593,0.040201214283705,85488.991984367
30,-32.2,372,10,-0.48678982871771,0.041224533766508,88513.200140238
31,-28.275,355,10,-0.39500003600121,0.036619587063789,91537.195670128
32,-31.875,367,10,-0.34533633959293,0.040921632256359,94553.798403025
33,-29.833333333333,324,9,-0.36864508163929,0.037416964419186,97573.81096077
34,-29.45,362,10,-0.36766059172153,0.038218563757837,100589.43251872
35,-32.027777777778,355,9,-0.36577108734846,0.038333136588335,103614.39954591
36,-28.375,358,10,-0.35177277600765,0.040965191282332,106632.72146487
37,-30.03125,299,8,-0.34595155924559,0.036479432418942,109651.67803073
38,-29.555555555556,322,9,-0.30786217570305,0.039175052693114,112670.15548062
39,-28.638888888889,321,9,-0.3109705504775,0.039023913567886,115692.09249473
40,-31.5,64,1,-0.32269009959698,0.037012370828539,118718.38890862
41,-28.25,200,6,-0.29259986150265,0.039351981215179,121740.25946045
42,-26.05,342,10,-0.31786714351177,0.03637124568969,125090.61474347
